año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;2;0;0;695,57;139114;2,2508333333333335;23,04375;200
2023;2;0;1;388,31;77662;1,8133333333333335;17,42375;200
2023;2;0;2;241,01;48202;1,1751700680272108;13,945;200
2023;2;0;3;183,985;36797;1,0151515151515151;10,56125;200
2023;2;0;4;189,155;37831;0,7671691792294807;11,01375;200
2023;2;0;5;271,975;54395;0,9570707070707071;14,82875;200
2023;2;0;6;796,62;159324;2,7163299663299667;24,81375;200
2023;2;0;7;2177,52;435504;6,679166666666666;28,97875;200
2023;2;0;8;3128,125;625625;10,93875;28,93875;200
2023;2;0;9;2975,775;595155;11,085416666666667;28,64625;200
2023;2;0;10;2394,2060301507536;476447;8,080402010050252;29,09547738693467;199
2023;2;0;11;2304,10101010101;456212;7,819023569023569;29,130050505050505;198
2023;2;0;12;2383,175;476635;7,944166666666666;29,06625;200
2023;2;0;13;2508,547738693467;499201;8,430904522613066;29,118090452261306;199
2023;2;0;14;2952,32;590464;9,465416666666666;29,22875;200
2023;2;0;15;3026,835;605367;9,272916666666667;29,23875;200
2023;2;0;16;2635,38;527076;8,503333333333334;29,07;200
2023;2;0;17;2807,415;561483;9,5125;28,63125;200
2023;2;0;18;3112,255;622451;10,417916666666667;28,32125;200
2023;2;0;19;3088,24;617648;10,6575;28,325;200
2023;2;0;20;2640,21608040201;525403;8,061139028475711;29,282663316582916;199
2023;2;0;21;2059,361809045226;409813;6,068676716917923;29,842964824120603;199
2023;2;0;22;1422,8090452261306;283139;4,370184254606365;29,592964824120603;199
2023;2;0;23;874,8232323232323;173215;3,0307239057239057;27,342171717171716;198
2023;2;1;0;577,9949748743719;115021;1,8131313131313131;20,262562814070353;199
2023;2;1;1;286,0;56914;1,3421273031825796;14,724874371859297;199
2023;2;1;2;161,5678391959799;32152;1,1700167504187604;10,149497487437186;199
2023;2;1;3;137,10552763819095;27284;0,742003367003367;9,228643216080402;199
2023;2;1;4;154,35175879396985;30716;0,6343537414965986;10,045226130653266;199
